function_path,type,type_name
probe:curve25519-dalek/4.1.3/add_lemmas/field_lemmas/lemmas/lemma_add_bounds_propagate(),3,lemma
probe:curve25519-dalek/4.1.3/add_lemmas/field_lemmas/lemmas/lemma_edwards_point_weaken_to_54(),3,lemma
probe:curve25519-dalek/4.1.3/add_lemmas/field_lemmas/lemmas/lemma_fe51_limbs_bounded_weaken(),3,lemma
probe:curve25519-dalek/4.1.3/add_lemmas/field_lemmas/lemmas/lemma_field51_add(),3,lemma
probe:curve25519-dalek/4.1.3/add_lemmas/field_lemmas/lemmas/lemma_field_add_16p_no_overflow(),3,lemma
probe:curve25519-dalek/4.1.3/add_lemmas/field_lemmas/lemmas/lemma_field_element51_eq_from_limbs_eq(),3,lemma
probe:curve25519-dalek/4.1.3/add_lemmas/field_lemmas/lemmas/lemma_sum_of_limbs_bounded_from_fe51_bounded(),3,lemma
probe:curve25519-dalek/4.1.3/as_bytes_lemmas/field_lemmas/lemmas/lemma_as_bytes_boundaries1(),3,lemma
probe:curve25519-dalek/4.1.3/as_bytes_lemmas/field_lemmas/lemmas/lemma_as_bytes_boundaries2(),3,lemma
probe:curve25519-dalek/4.1.3/as_bytes_lemmas/field_lemmas/lemmas/lemma_as_bytes_equals_spec_fe51_to_bytes(),3,lemma
probe:curve25519-dalek/4.1.3/as_bytes_lemmas/field_lemmas/lemmas/lemma_as_bytes_from_bytes_roundtrip(),3,lemma
probe:curve25519-dalek/4.1.3/as_bytes_lemmas/field_lemmas/lemmas/lemma_canonical_bytes_bit255_zero(),3,lemma
probe:curve25519-dalek/4.1.3/as_bytes_lemmas/field_lemmas/lemmas/lemma_canonical_check_backward(),3,lemma
probe:curve25519-dalek/4.1.3/as_bytes_lemmas/field_lemmas/lemmas/lemma_ct_eq_iff_canonical_nat(),3,lemma
probe:curve25519-dalek/4.1.3/as_bytes_lemmas/field_lemmas/lemmas/lemma_fe51_to_bytes_equal_implies_field_element_equal(),3,lemma
probe:curve25519-dalek/4.1.3/as_bytes_lemmas/field_lemmas/lemmas/lemma_field_element_equal_implies_fe51_to_bytes_equal(),3,lemma
probe:curve25519-dalek/4.1.3/as_bytes_lemmas/field_lemmas/lemmas/lemma_from_bytes_as_bytes_roundtrip(),3,lemma
probe:curve25519-dalek/4.1.3/as_bytes_lemmas/field_lemmas/lemmas/lemma_is_negative_equals_parity(),3,lemma
probe:curve25519-dalek/4.1.3/as_bytes_lemmas/field_lemmas/lemmas/lemma_seq_eq_implies_array_eq(),3,lemma
